what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1418246160537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418246162001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246163082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246255543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418246264768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246265934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246283505
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1418246288835
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1418246288836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1418246293579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1418246295921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418246297597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246300908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246315531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418246325622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1418246329293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418246353210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418246357841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246358905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246369170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246380395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246381807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418246386934
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418246395030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246396945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246482200
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1418246488129
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1418246488283
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1418246488421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418246505569
activated,view,org.python.pydev,3.8.0.201409251235,"org.python.pydev.navigator.view",1418246517369
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1418246517751
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1418246517860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1418246555621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1418246559407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1418246561503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418246561935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1418246626626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246627279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246680508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246681277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246681883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246689817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246694664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246695918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418246697303
